Draw_43,Giới hạn & hiệu năng khi vẽ,Kiểm tra giới hạn kích thước hình,,,1. Vẽ hình quá nhỏ / quá lớn,,Hiển thị hình ảnh nên màn hình ,Passed,Passed,,,,,,,,,,02/02/2026,,,,,
Draw_44,,Vẽ nhiều hình giống nhau liên tiếp,,,"1. Chọn Circle
2. Vẽ 10 hình liên tiếp",,"Không lag, không treo, hình hiển thị đầy đủ",Passed,Passed,,,,,,,,,,02/02/2026,,,,,
Draw_45,,Vẽ nhiều loại hình khác nhau,,,1. Lần lượt chọn Rectangle / Circle / Freehand và vẽ,,Hình hiển thị đúng theo công cụ đang chọn,Passed,Passed,,,,,,,,,,02/02/2026,,,,,
Draw_46,Chọn & thoát chế độ chọn,Check Chọn nét / hình vẽ,,,Click vào nét hoặc hình,,"Cho phép chọn, hiển thị khung bao",Passed,Passed,,,,,,,,,,02/02/2026,,,,,
Draw_47,,Check Thoát khung chọn,,,"1. Chọn hình
2. Click ra ngoài canvas",,Thực hiện vẽ khi thoát ra vào lại ,N/A,N/A,,,,,,,,,,02/02/2026,05/02/2026,,,,
Draw_48,,Check Thoát chế độ Pen Tool,,,"1. Click Pen Tool
2. Click công cụ khác",,"Thoát Pen Tool, chuyển sang công cụ mới",Passed,Passed,,,,,,,,,,02/02/2026,05/02/2026,,,,
Draw_49,Resize hình vẽ,Check Resize bằng kéo góc,,,"1. Vẽ hình
2. Chọn hình
3. Kéo góc",,Kích thước thay đổi đúng,Passed,Passed,,,,,,,,,,02/02/2026,,,,,
Draw_50,,Check Resize bằng kéo cạnh,,,"1. Chọn hình
2. Kéo cạnh ngang/dọc",,"Hình thay đổi đúng chiều, không méo",Passed,Passed,,,,,,,,,,02/02/2026,,,,,
Draw_51,,Check Resize về kích thước rất nhỏ,,,1. Thu nhỏ hình tối đa,,"Hình dừng ở kích thước tối thiểu, không biến mất",Passed,Passed,,,,,,,,,,02/02/2026,,,,,
Draw_52,,Check Resize nhiều hình cùng lúc,,,"1. Vẽ nhiều hình
2. Select all
3. Resize",,"Tất cả hình resize đồng thời, giữ vị trí tương đối",N/A,N/A,,,,,,,,,,02/02/2026,05/02/2026,,,,
1.5. Kiểm tra chức năng 2. Shape Tool                                                                                                                                        ,,,,,,,,,,,,,,,,,,,,,,,,
Draw_53,UI,Kiểm tra hiển thị mặc định Shape Tool,,"Options Panel đang mở, và được GV cấp quyền cho vẽ ","1. HS chọn Shape Tool
2. Chọn 1 shape bất kỳ (Rectangle / Circle …)
3. Vẽ shape lên canvas",,"Hiển thị Shape Tool Options Panel đúng vị trí, không che canvas",Passed,Passed,,,,,,,,,,03/02/2026,05/02/2026,,,,
Draw_54,,Tắt Options Panel khi click lại Shape Tool,,Options Panel đang mở,"1. HS chọn Shape Tool
2. Chọn 1 shape bất kỳ (Rectangle / Circle …)
3. Vẽ shape lên canvas",,Shape Tool Options Panel được đóng,Passed,Passed,,,,,,,,,,03/02/2026,,,,,
Draw_55,,Tắt Options Panel khi click ra ngoài màn hình,,Options Panel đang mở,1. HS chạm ra ngoài canvas,,Shape Tool Options Panel được đóng,N/A,N/A,,,,,,,,,,03/02/2026,09/02/2026,,,,
Draw_56,,Tắt Options Panel khi click công cụ khác trong Drawing Toolbar,,Options Panel đang mở,1. HS chạm Pen / Text / Eraser,,Shape Tool Options Panel được đóng,Passed,Passed,,,,,,,,,,03/02/2026,05/02/2026,,,,
Draw_57,,"Tắt Options Panel khi click nút cố định (Board, Raise hand, Tools, Settings, Mic, Cam, Participants, Chat)",,Options Panel đang mở,1. HS chạm 1 nút cố định,,Shape Tool Options Panel được đóng,N/A,N/A,,,,,,,,,,03/02/2026,05/02/2026,,,,
Draw_58,,Vẽ hình bằng Shape Tool,,,"1. Chọn Shape Tool
2. Chọn 1 shape
3. Nhấn ra mán hình Whiteboard",,"Hình vẽ xuất hiện đúng vị trí, đúng loại",Passed,Passed,,,,,,,,,,03/02/2026,05/02/2026,,,,
Draw_59,Style,Kiểm tra thay đổi màu,,,"1. HS chọn Color Picker tại icon Setting 
2. Chọn màu mới (VD: đỏ)
3. Chọn lại Shape Tool
4. Chọn shape cần vẽ
5. Vẽ shape",,Shape hiển thị đúng màu đã chọn,Passed,Passed,,,,,,,,,,03/02/2026,,,,,
Draw_60,,Kiểm tra đổi nhiều màu liên tiếp,,,"1. Chọn màu A
2. Chọn Shape Tool → vẽ shape 1
3. Chọn màu B
4. Chọn lại Shape Tool → vẽ shape 2",,"Mỗi shape hiển thị đúng màu tương ứng, không bị ảnh hưởng lẫn nhau",Passed,Passed,,,,,,,,,,03/02/2026,,,,,
Draw_61,,Kiểm tra đổi màu không ảnh hưởng shape đã vẽ,,Đã có shape trên canvas,"1. Vẽ shape màu A
2. Chọn màu B
3. Chọn Shape Tool
4. Vẽ shape mới",,"Shape cũ giữ nguyên màu A, shape mới hiển thị màu B",Passed,Passed,,,,,,,,,,03/02/2026,,,,,
Draw_62,,Kiểm tra màu hiển thị đồng bộ khi vẽ liên tục,,,"1. Chọn màu bất kỳ
2. Chọn Shape Tool
3. Vẽ liên tiếp 5 shape",,"Tất cả shape hiển thị đúng màu đã chọn, không lệch màu",Passed,Passed,,,,,,,,,,03/02/2026,,,,,
Draw_63,,Kiểm tra thay đổi độ dày nét,,,"1. HS chọn Line width → chọn độ dày A
2. Chọn Shape Tool
3. Chọn shape cần vẽ
4. Vẽ shape lên canvas
5. HS chọn Line width khác (độ dày B)
6. Chọn lại Shape Tool
7. Vẽ shape mới",,"Shape 1 hiển thị đúng độ dày A
Shape 2 hiển thị đúng độ dày B",Passed,Passed,,,,,,,,,,03/02/2026,,,,,
Draw_64,,Kết hợp đổi màu và độ dày,,,"1. HS chọn màu A và độ dày A
2. Chọn Shape Tool → vẽ shape 1
3. HS chọn màu B và độ dày B
4. Chọn lại Shape Tool → vẽ shape 2",,Shape hiển thị đúng màu + độ dày theo từng lần chọn,Passed,Passed,,,,,,,,,,03/02/2026,,,,,
Draw_65,Vẽ hình,Vẽ hình bằng Shape Tool,,,"1. HS chọn Shape Tool
2. Chọn 1 shape (Rectangle / Circle…)
3. Chạm và kéo tay để vẽ",,"Shape xuất hiện đúng vị trí, đúng loại hình, không lag",Passed,Passed,,,,,,,,,,03/02/2026,,,,,
Draw_66,,Vẽ liên tiếp nhiều hình khác nhau,,,"1. Chọn Rectangle → vẽ hình 1
2. Chọn Circle → vẽ hình 2
3. Chọn shape khác → vẽ hình 3",,"Mỗi hình hiển thị đúng shape được chọn, không ảnh hưởng lẫn nhau",Passed,Passed,,,,,,,,,,03/02/2026,,,,,
Draw_67,Undo,Nhấn Undo,,,"1. HS vẽ 2–3 shape
2. Nhấn Undo",,"Shape được vẽ cuối cùng bị xóa, các shape trước giữ nguyên",N/A,N/A,,,,,,,,,,03/02/2026,05/02/2026,,,,
Draw_68,Resize,Check Resize bằng kéo góc,,Có 1 shape trên canvas,"1. HS chạm chọn shape
2. Kéo góc shape để phóng to / thu nhỏ",,"Kích thước shape thay đổi đúng theo thao tác kéo, không méo, không lỗi",Passed,Passed,,,,,,,,,,03/02/2026,05/02/2026,,,,
Draw_69,,Check Resize bằng kéo cạnh,,Có 1 shape trên canvas,"1. HS chạm chọn shape
2. Kéo cạnh ngang hoặc dọc của shape",,"Shape thay đổi chiều đúng hướng kéo, không bị méo hoặc lệch",Passed,Passed,,,,,,,,,,03/02/2026,,,,,
Draw_70,,Check Resize về kích thước rất nhỏ,,Có 1 shape trên canvas,"1. HS chạm chọn shape
2. Thu nhỏ shape đến mức tối đa có thể",,"Shape thu nhỏ đến giới hạn tối thiểu, không biến mất, không lỗi",Passed,Passed,,,,,,,,,,03/02/2026,02/02/2026,,,,
Draw_71,,Check Resize nhiều hình cùng lúc,,Có ≥ 2 shape trên canvas,"1. HS kéo chọn nhiều shape
2. Kéo góc để resize đồng thời",,"Tất cả shape được resize cùng lúc, giữ đúng vị trí tương đối",N/A,N/A,,,,,,,,,,03/02/2026,05/02/2026,,,,
1.6. Kiểm tra chức năng 2. Style Settings                                                                                                                               ,,,,,,,,,,,,,,,,,,,,,,,,
Draw_72,UI – Style Settings (Biểu tượng bánh răng),Kiểm tra hiển thị mặc định Style Settings,,,1. HS click Style Settings (biểu tượng bánh răng),,"Hiển thị Style Settings Options Panel gồm:
1. Colors
2. Line width
3. Font style
4. Font size",Passed,Passed,,,,,,,,,,03/02/2026,05/02/2026,,,,
Draw_73,,Mở Drawing Options,,,1. HS click biểu tượng bánh răng,,Drawing Options được mở,Passed,Passed,,,,,,,,,,03/02/2026,,,,,
Draw_74,,Đóng Drawing Options,,,1. HS click lại biểu tượng bánh răng,,Drawing Options được đóng,Passed,Passed,,,,,,,,,,03/02/2026,,,,,
Draw_75,Colors,Kiểm tra hiển thị mặc định Colors,,,"1. Mở Style Settings
2. Quan sát mục Colors",,"Các màu hiển thị đầy đủ, rõ ràng, phân biệt, có viền nút",Passed,Passed,,,,,,,,,,03/02/2026,,,,,
Draw_76,,Thay đổi màu vẽ,,,"1. Chọn 1 màu bất kỳ
2. Chọn Pen / Shape Tool
3. Vẽ lên canvas
4. Chọn màu khác
5. Vẽ tiếp",,"1. Nét/hình hiển thị đúng màu đã chọn
2. Cho phép đổi qua lại giữa các màu
3. Drawing options không tự đóng khi vẽ",Passed,Passed,,,,,,,,,,03/02/2026,,,,,
Draw_77,Line Width,Kiểm tra hiển thị mặc định Line width,,,"1. Mở Style Settings
2. Quan sát Line width",,"Các mức độ dày hiển thị rõ ràng, phân biệt, có viền",Passed,Passed,,,,,,,,,,03/02/2026,,,,,
Draw_78,,Thay đổi độ dày nét,,,"1. Chọn độ dày A
2. Chọn Pen / Shape Tool
3. Vẽ
4. Chọn độ dày B
5. Vẽ tiếp",,"1. Nét/hình hiển thị đúng độ dày đã chọn
2. Có thể đổi qua lại giữa các độ dày
3. Drawing options không tự đóng khi vẽ",Passed,Passed,,,,,,,,,,03/02/2026,,,,,
Draw_79,Font Style,Kiểm tra hiển thị mặc định Font style,,,"1. Mở Style Settings
2. Quan sát Font style",,Các tùy chọn hiển thị rõ ràng (Regular / Bold / Italic…),Passed,Passed,,,,,,,,,,03/02/2026,,,,,
Draw_80,,Thay đổi kiểu chữ,,,"1. Chọn Bold hoặc Italic
2. Chọn Text Tool
3. Tạo text mới",,"1. Text hiển thị đúng kiểu chữ đã chọn
2. Cho phép kết hợp Bold + Italic
3. Drawing options không tự đóng",Passed,Passed,,,,,,,,,,03/02/2026,,,,,
,,,,,"1.Tại font style, Chọn Bold hoặc Italic
2. Chọn Text Tool
3. Tạo text mới
4. Nhấn lại vào Font style để tắt. Quan sát màn học sinh ",,4. Font style Bold / Italic được tắt; text mới nhập hiển thị font thường,Failed,No run,,,,,,,,,03/02/2026,03/02/2026,05/02/2026,,,,
Draw_82,Font Size,Kiểm tra hiển thị mặc định Font size,,,"1. Mở Style Settings
2. Quan sát Font size, dropdown, editable dropdown",,"Hiển thị đầy đủ, rõ ràng, nổi bật",No run,No run,,,,,,,,,,03/02/2026,,,,,
Draw_83,,Check Chọn cỡ chữ từ dropdown,,,"1. Mở dropdown Font size
2. Chọn 1 giá trị có sẵn",,"Cho phép chọn 1 giá trị, hiển thị đúng sau khi chọn",Passed,Passed,,,,,,,,,,03/02/2026,05/02/2026,,,,
Draw_84,,Check Thay đổi cỡ chữ,,,"1. Chọn cỡ chữ bất kỳ
2. Tạo text mới",,Cỡ chữ hiển thị đúng theo lựa chọn,Passed,Passed,,,,,,,,,,03/02/2026,05/02/2026,,,,
1.7. Kiểm tra chức năng 2. Selection Tool                                                                                                                   ,,,,,,,,,,,,,,,,,,,,,,,,
Draw_85,,Chọn 1 đối tượng,,,"1. HS tạo mới 1 văn bản / 1 hình / 1 nét vẽ
2. HS chọn Selection Tool
3. HS chạm vào đối tượng
4. Kéo đối tượng đến vị trí khác",,"Đối tượng được chọn, hiển thị khung chọn, di chuyển đúng theo thao tác kéo",No run,No run,,,,,,,,,,02/02/2026,,,,,
Draw_86,,Chọn nhiều đối tượng,,,"1. HS tạo nhiều đối tượng
2. HS dùng kéo vùng chọn (lasso / drag selection)
3. Kéo di chuyển nhóm đối tượng",,"Tất cả đối tượng trong vùng chọn đều được chọn và di chuyển đồng bộ, giữ đúng khoảng cách tương đối",N/A,No run,,,,,,,,,,03/02/2026,,,,,
Draw_87,,Di chuyển đối tượng ra ngoài vùng canvas,,,"1. HS tạo mới 1 đối tượng
2. Chọn Selection Tool
3. Kéo đối tượng ra sát mép canvas",,"Đối tượng không bị kéo hoàn toàn ra ngoài canvas, vẫn còn 1 phần hiển thị để thao tác kéo lại",Failed,Passed,,,,,,,,,,03/02/2026,05/02/2026,,,,
Draw_88,,Di chuyển đối tượng bằng thao tác kéo chính xác,,,"1. HS chọn đối tượng
2. Kéo nhẹ đối tượng từng đoạn ngắn",,"Đối tượng di chuyển mượt, chính xác theo thao tác tay, không bị giật hoặc lệch vị trí",No run,No run,,,,,,,,,,,,,,,
1.8. Kiểm tra chức năng 2. Undo                                                                                                    ,,,,,,,,,,,,,,,,,,,,,,,,
Draw_89,,Kiểm tra hiển thị mặc định nút Undo,,,"1. HS mở chế độ vẽ
2. Quan sát Drawing Toolbar",,- Undo và Redo bị disable (mờ)- Không thao tác được,N/A,No run,,,,,,,,,02/02/2026,03/02/2026,,,,,
Draw_90,,Check Undo sau khi vẽ 1 nét hoặc 1 hình,,,"1. HS vẽ 1 nét hoặc 1 hình
2. HS nhấn Undo",,- Hình/nét vừa vẽ bị xóa- Canvas quay về trạng thái trước đó,N/A,No run,,,,,,,,,,02/02/2026,,,,,
