STT,Card,Tên,MT,Type,Priority,Status,Ngày tạo,Done,Reopen,Người tạo,Người sửa,Column 13,Note,,,,,,,,,,,,,,,
58,ESD-125,"Essay và Speaking: Giáo viên thoát và vào lại phòng không tự động kích hoạt lại tính năng ""Check pronunciation"" và ""Check grammar""",Smart,Bug,Highest,Chưa thực hiện,20/05/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
60,ESD-128,Library - Exersise: Công thức tính điểm sai sau nhiều lần Start exercise,Smart,Bug,Highest,Chưa thực hiện,21/05/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
68,ESD-140,[Teacher] - Divide groups: Không hiển thị đúng khung bảng khi giáo viên truy cập nhóm đã chia,Smart,Bug,Highest,Chưa thực hiện,09/06/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
76,ESD-167,[Audio] Thanh tiến trình audio không đồng bộ 0s khi mới mở,Smart,Bug,Highest,Chưa thực hiện,14/07/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
225,ESD-242,Lỗi 404 khi giáo viên upload file trong Smart Room,Smart,Bug,Highest,Ðã hoàn thành,13/08/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
226,ESD-244,Lỗi đồng bộ khi giáo viên mở slide – một số máy học sinh không hiển thị,Smart,Bug,Highest,Ðã hoàn thành,13/08/2025,,,Linh,Quang,,Lỗi do 2 máy dùng trung tài khoản,,,,,,,,,,,,,,,
227,ESD-245,Lỗi khi học sinh bắt đầu làm slide được giao hoặc chuyển trang – console báo lỗi Cannot read properties of undefined (reading 'id'),Smart,Bug,Highest,Ðã hoàn thành,13/08/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
230,ESD-248,GV tạo câu hỏi khi đang mở slide nhưng câu hỏi ko hiển thị bên HS,Smart,Bug,Highest,Chờ deploy,15/08/2025,,,Vi,Quang,,,,,,,,,,,,,,,,,
231,ESD-249,Tab Camera bên GV đồng bộ với Slide chiếu trên bảng,Smart,Bug,Highest,Ðã hoàn thành,15/08/2025,19/08/2025,,Vi,Quang,,,,,,,,,,,,,,,,,
232,ESD-250,Không đồng bộ trang với slide khi GV cho HS làm bài,Smart,Bug,Highest,Chưa thực hiện,15/08/2025,,,Vi,Quang,,,,,,,,,,,,,,,,,
233,ESD-251,HS không được vẽ dù GV đã cấp quyền vẽ,Smart,Bug,Highest,Ðã hoàn thành,19/08/2025,20/08/2025,,Vi,Quang,,,,,,,,,,,,,,,,,
234,ESD-252,GV cho điểm nhóm nhưng bên HS không hiển thị điểm,Smart,Bug,Highest,Chưa thực hiện,19/08/2025,,,Vi,Quang,,,,,,,,,,,,,,,,,
44,ESD-93,Question - Placeholder trong ô nhập đáp án không thay đổi theo ngôn ngữ,Smart,Bug,Low,Ðã hoàn thành,06/05/2025,15/05/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
45,ESD-94,"Question - Nút ""Add answer"" không bị disable khi đã đủ 10 đáp án",Smart,Bug,Low,Ðã hoàn thành,06/05/2025,15/05/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
140,ESD-89,Kiểm tra sắp xếp thẻ phòng ,Smart,Bug,Low,Chưa thực hiện,06/05/2025,,,Hoa,Quang,,,,,,,,,,,,,,,,,
223,ESD-240,"GV tạo câu hỏi mới nhưng HS vẫn hiển thị thông báo ""Please select one correct answer"" từ câu hỏi trước",Smart,Bug,Low,Chưa thực hiện,12/08/2025,,,Vi,Quang,,,,,,,,,,,,,,,,,
4,ESD-10,Upload file + Transfer file,Smart,Bug,Medium,Ðã hoàn thành,18/04/2025,08/08/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
5,ESD-12,Nút “Download all” đang không tải toàn bộ file như mong đợi,Smart,Bug,Medium,Ðã hoàn thành,18/04/2025,08/08/2025,1,Linh,Quang,,Reopen1: 22/04,,,,,,,,,,,,,,,
9,ESD-17,Modal Participants hiển thị sai và không đóng khi click lại,Smart,Bug,Medium,Ðã hoàn thành,18/04/2025,25/04/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
10,ESD-20,"Create Room - Checkbox ""Is recording"" có thể được click khi click vào vùng của div.form-check, không chỉ riêng checkbox hoặc label",Smart,Bug,Medium,Ðã hoàn thành,18/04/2025,21/04/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
12,ESD-22,Lỗi hiển thị đường dẫn file khi di chuyển phần tử chứa thẻ <a>,Smart,Bug,Medium,Ðã hoàn thành,18/04/2025,25/04/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
18,ESD-33,"Nội dung văn bản trong modal ""Invite learners""",Smart,Bug,Medium,Ðã hoàn thành,21/04/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
26,ESD-49,Login - Error Border khi các trường bị báo lỗi,Smart,Bug,Medium,Chưa thực hiện,25/04/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
28,ESD-51,[Teacher] - Stopwatch không lưu giá trị nếu nhập số xong không nhấn Enter,Smart,Bug,Medium,Ðã hoàn thành,25/04/2025,08/08/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
29,ESD-52,[Teacher] - Stopwatch: Ô nhập thời gian cho phép nhập các ký tự không hợp lệ như .-+e,Smart,Bug,Medium,Ðã hoàn thành,25/04/2025,08/08/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
31,ESD-58,"[Teacher]Không thể cuộn trang khi trình chiếu file PDF trong room, chỉ chuyển được từng trang một",Smart,Bug,Medium,Chưa thực hiện,25/04/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
32,ESD-64,"Giáo viên không click được nút ""Bắt đầu"" khi bật lại slide Ai là triệu phú sau khi out phòng.",Smart,Bug,Medium,Ðã hoàn thành,25/04/2025,13/05/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
33,ESD-66,Ai là triệu phú - sửa text,Smart,Bug,Medium,Ðã hoàn thành,25/04/2025,12/05/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
35,ESD-72,"Divide groups - Disable nút ""Add group"" khi số nhóm bằng số thành viên để tránh lỗi ""Split groups error""",Smart,Bug,Medium,Ðã hoàn thành,28/04/2025,12/12/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
36,ESD-74,"""Divide Groups"" - Thanh tìm kiếm không hoạt động và giao diện không rõ ràng",Smart,Bug,Medium,Chưa thực hiện,28/04/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
37,ESD-75,"Divide groups - Popup ""Move to"" không ẩn khi click ra ngoài",Smart,Bug,Medium,Chưa thực hiện,28/04/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
38,ESD-76,"Divide groups - Popup ""Move to"" bị che mất góc khi hiển thị danh sách nhóm dài",Smart,Bug,Medium,Chưa thực hiện,28/04/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
39,ESD-77,"Tính năng sửa tên nhóm chưa hoạt động trong ""Divide Groups""",Smart,Bug,Medium,Ðã hoàn thành,28/04/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
41,ESD-87,"Lỗi hiển thị ô ""Gửi điểm"" khi đáp án câu hỏi dạng Fill in the Blank quá dài",Smart,Bug,Medium,Ðã hoàn thành,06/05/2025,15/05/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
42,ESD-88,"Question - Hiển thị đầy đủ tất cả đáp án (A, B, C...) cho câu hỏi trong giao diện chấm bài của giáo viên",Smart,Task,Medium,Ðã hoàn thành,06/05/2025,16/05/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
51,ESD-111,Modal đang có thể bị đóng khi click vào vùng mờ (trên/dưới modal),Smart,Bug,Medium,Chưa thực hiện,08/05/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
52,ESD-112,"Divide groups - Popup menu  ""Join room"" và ""Exit"" không ẩn khi click ra ngoài",Smart,Bug,Medium,Chưa thực hiện,08/05/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
55,ESD-119,Thumbnail bị lỗi khi bật slide Ai là triệu phú,Smart,Bug,Medium,Chưa thực hiện,13/05/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
61,ESD-129,Library - Giao diện Result không tương thích với Dark Mode,Smart,Bug,Medium,Chưa thực hiện,21/05/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
62,ESD-130,Divide groups - Avatar không hiển thị ở giao diện chia nhóm,Smart,Bug,Medium,Chưa thực hiện,23/05/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
63,ESD-131,Avatar không hiển thị ở nhiều màn hình,Smart,Bug,Medium,Chưa thực hiện,23/05/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
64,ESD-132,Divide groups - Chưa hiện đúng tên nhóm (tên nhóm đã chỉnh sửa),Smart,Bug,Medium,Chưa thực hiện,26/05/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
67,ESD-139,[Teacher] - Question màn Result,Smart,Bug,Medium,Ðã hoàn thành,05/06/2025,11/08/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
69,ESD-146,Library- Hiện danh sách file ảnh ,Smart,Bug,Medium,Chưa thực hiện,16/06/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
70,ESD-147,Transfer file - Chức năng Transfer file bị giới hạn định dạng – Không cho phép upload đầy đủ các loại file cần thiết,Smart,Bug,Medium,Chưa thực hiện,16/06/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
